Trade Date,Index Value,High,Low,Total Market Value,Dividend Market Value
2017-08-28,106.14,0.0,0.0,1195231395855.0,4806480270.0
2017-08-25,106.09,0.0,0.0,1194661815422.0,606265971.0
2017-08-24,106.06,0.0,0.0,1194263076704.0,36927981.0
2017-08-23,106.1,0.0,0.0,1194765331084.0,476166949.0
2017-08-22,106.03,0.0,0.0,1193992077274.0,415020048.0
2017-08-21,106.09,0.0,0.0,1194652939673.0,1496842030.0
2017-08-18,106.04,0.0,0.0,1194043475957.0,498272264.0
2017-08-17,106.04,0.0,0.0,1194092751955.0,59802219.0
2017-08-16,106.0,0.0,0.0,1193632926205.0,33987874.0
2017-08-15,105.92,0.0,0.0,1192681400024.0,7448621580.0
2017-08-14,106.0,0.0,0.0,1193597901029.0,4427719345.0
2017-08-11,106.03,0.0,0.0,1193920042957.0,765760686.0
2017-08-10,105.96,0.0,0.0,1193146531402.0,186109112.0
2017-08-09,105.97,0.0,0.0,1193245963166.0,474475125.0
2017-08-08,105.94,0.0,0.0,1192996191299.0,113363032.0
2017-08-07,105.99,0.0,0.0,1193463641462.0,582450163.0
2017-08-04,105.95,0.0,0.0,1193048012425.0,61632059.0
2017-08-03,106.01,0.0,0.0,1193791657761.0,25072866.0
2017-08-02,105.95,0.0,0.0,1193034817958.0,492388712.0
2017-08-01,105.99,0.0,0.0,1193494054236.0,3355997533.0
2017-07-31,105.94,0.0,0.0,1194279976524.0,863530046.0
2017-07-28,105.91,0.0,0.0,1193996516964.0,74981235.0
2017-07-27,105.88,0.0,0.0,1193621380501.0,141248943.0
2017-07-26,105.89,0.0,0.0,1193793428441.0,67916805.0
2017-07-25,105.75,0.0,0.0,1192237785622.0,549353056.0
2017-07-24,105.85,0.0,0.0,1193355579964.0,423460775.0
2017-07-21,105.87,0.0,0.0,1193581185440.0,629954304.0
2017-07-20,105.82,0.0,0.0,1192968476893.0,41048805.0
2017-07-19,105.81,0.0,0.0,1192817547493.0,488537057.0
2017-07-18,105.81,0.0,0.0,1192838595121.0,1815854581.0
2017-07-17,105.74,0.0,0.0,1192065930088.0,5205265664.0
2017-07-14,105.7,0.0,0.0,1191631827169.0,2463123020.0
2017-07-13,105.63,0.0,0.0,1190847117488.0,56331943.0
2017-07-12,105.65,0.0,0.0,1191008442748.0,48716006.0
2017-07-11,105.54,0.0,0.0,1189858225395.0,877372623.0
2017-07-10,105.5,0.0,0.0,1189400503611.0,857858312.0
2017-07-07,105.41,0.0,0.0,1188385708367.0,26774347.0
2017-07-06,105.41,0.0,0.0,1188390044105.0,36147008.0
2017-07-05,105.41,0.0,0.0,1188364786493.0,500399702.0
2017-07-03,105.38,0.0,0.0,1187999909688.0,826575953.0
2017-06-30,105.44,0.0,0.0,1188837822861.0,459931813.0
2017-06-29,105.49,0.0,0.0,1189344515632.0,882856652.0
2017-06-28,105.54,0.0,0.0,1189897446158.0,1364691462.0
2017-06-27,105.5,0.0,0.0,1189477514522.0,678566592.0
2017-06-26,105.57,0.0,0.0,1190262891412.0,4054694501.0
2017-06-23,105.54,0.0,0.0,1189904092107.0,427168502.0
2017-06-22,105.52,0.0,0.0,1189739920002.0,0.0
2017-06-21,105.5,0.0,0.0,1189500515243.0,4267093302.0
2017-06-20,105.53,0.0,0.0,1189750616900.0,489169634.0
2017-06-19,105.46,0.0,0.0,1189003117457.0,363815677.0
2017-06-16,105.52,0.0,0.0,1189651041054.0,1474964847.0
2017-06-15,105.47,0.0,0.0,1189109601138.0,5967548154.0
2017-06-14,105.53,0.0,0.0,1189759422574.0,53571862.0
2017-06-13,105.43,0.0,0.0,1188716450238.0,14132258.0
2017-06-12,105.43,0.0,0.0,1188670871020.0,2102355928.0
2017-06-09,105.43,0.0,0.0,1188713643754.0,426206270.0
2017-06-08,105.46,0.0,0.0,1188966128568.0,51343230.0
2017-06-07,105.48,0.0,0.0,1189236525527.0,51175338.0
2017-06-06,105.54,0.0,0.0,1189866103390.0,80095988.0
2017-06-05,105.48,0.0,0.0,1189238044142.0,4158351839.0
2017-06-02,105.5,0.0,0.0,1189456882776.0,1466556354.0
2017-06-01,105.42,0.0,0.0,1188508844047.0,4883780295.0
2017-05-31,105.46,0.0,0.0,1189898030870.0,0.0
2017-05-30,105.45,0.0,0.0,1189766601226.0,1678463110.0
2017-05-26,105.35,0.0,0.0,1188649785863.0,2124383233.0
2017-05-25,105.33,0.0,0.0,1188445197938.0,325310068.0
2017-05-24,105.32,0.0,0.0,1188282438925.0,46475471.0
2017-05-23,105.28,0.0,0.0,1187837198018.0,12209825.0
2017-05-22,105.34,0.0,0.0,1188527045607.0,1940245934.0
2017-05-19,105.32,0.0,0.0,1188297543097.0,17538924.0
2017-05-18,105.33,0.0,0.0,1188456471995.0,35913407.0
2017-05-17,105.39,0.0,0.0,1189139461524.0,45768915.0
2017-05-16,105.22,0.0,0.0,1187189681675.0,847208486.0
2017-05-15,105.2,0.0,0.0,1186913836952.0,7046019958.0
2017-05-12,105.17,0.0,0.0,1186633498468.0,598915055.0
2017-05-11,105.01,0.0,0.0,1184844428505.0,916752215.0
2017-05-10,104.97,0.0,0.0,1184358038279.0,140629266.0
2017-05-09,104.95,0.0,0.0,1184186897916.0,3619132.0
2017-05-08,105.0,0.0,0.0,1184642361701.0,4075440063.0
2017-05-05,105.0,0.0,0.0,1184680547241.0,2893467994.0
2017-05-04,104.99,0.0,0.0,1184597029116.0,494799617.0
2017-05-03,105.04,0.0,0.0,1185191570295.0,55491542.0
2017-05-02,105.11,0.0,0.0,1185925395568.0,2308463991.0
2017-05-01,105.03,0.0,0.0,1185042315013.0,3887143846.0
2017-04-28,105.05,0.0,0.0,1185986463291.0,14930282.0
